"title"	"issns"	"level"	"wos_cc"	"wos_update"	"scopus"	"srcid"	"sc_update"	"rsci"	"sherpa"	"sherpa_id"	"sherpa_update"	"ajg21"	"ajg_update"	"doaj"	"doaj_id"	"doaj_update"	"erih"	"erih_update"	"eclit"	"eclit_update"	"ecbiz"	"ecbiz_update"	"inspec"	"inspec_update"	"dblp"	"dblp_id"	"dblp_update"	"msn"	"msn_update"	"zbm"	"zbm_id"	"zbm_update"	"medline"	"medline_id"	"medline_update"	"embase"	"embase_update"	"agricola"	"agricola_update"	"cab"	"cab_update"	"cpx"	"cpx_update"	"georef"	"georef_update"	"geobase"	"geobase_update"	"oax"	"oax_id"	"oax_update"	"job"	"job_id"	"job_update"	"abdc22"	"abdc_update"	"sudoc"	"sudoc_id"	"sudoc_update"	"cref"	"cref_update"	"scilit"	"scilit_id"	"scilit_update"	"wikidata"	"wikidata_id"	"wikidata_update"	"fatcat"	"fatcat_id"	"fatcat_update"	"fsta"	"fsta_update"	"hsabs"	"hsabs_update"	"wpsa"	"wpsa_update"	"socabs"	"socabs_update"	"chim"	"chim_update"	"zoorec"	"zoorec_update"	"biabs"	"biabs_update"	"petro"	"petro_update"	"dnb"	"dnb_id (idn)"	"dnb_update"	"cas_core"	"coden"	"coden_update"	"date_accepted"	"date_discontinued"	"state"	"notice"
"WIKIJOURNAL OF SCIENCE"	"2470-6345"	"4"	"No"	""	"Yes"	"21101087358"	"01.09.2024"	"No"	"Yes"	"39135"	"10.10.2024"	""	""	"Yes"	"c22e89484ff04986ac0fb2cb2907dd04"	"09.10.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	""	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"S4210214053"	"10.10.2024"	"Yes"	"4e165e73-43cc-4e63-a6b1-f144499a2f27"	"10.10.2024"	""	""	"No"	""	""	"Yes"	"18.10.2024"	"Yes"	"86072"	"03.12.2022"	"Yes"	"Q22674854"	"27.03.2024"	"Yes"	"kjuq2lntnvdefc5xzhq2npe5he"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"1190203669"	"15.05.2023"	"No"	""	""	"20.10.2022"	""	""	""
"CYBERGEO - EUROPEAN JOURNAL OF GEOGRAPHY"	"1278-3366"	"2"	"Yes"	"04.10.2024"	"Yes"	"4800156303"	"01.09.2024"	"No"	"Yes"	"14330"	"10.10.2024"	""	""	"Yes"	"ca78c66fff1b4fbeabb34fd70a4fabf9"	"09.10.2024"	"Yes"	"18.10.2024"	"No"	""	"No"	""	"No"	""	"No"	""	""	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"18.10.2024"	"Yes"	"S4210172843"	"10.10.2024"	"No"	""	""	""	""	"Yes"	"040652920"	"16.04.2023"	"No"	""	"Yes"	"16149"	"03.12.2022"	"Yes"	"Q3008153"	"27.03.2024"	"Yes"	"xzskhsan5fd63ftba2xl4blw3e"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"019676360"	"15.05.2023"	"No"	""	""	"20.10.2022"	""	""	""
"CYBERNETICS AND INFORMATION TECHNOLOGIES"	"1314-4081|1311-9702"	"2"	"Yes"	"04.10.2024"	"Yes"	"21100199814"	"01.09.2024"	"No"	"Yes"	"26524"	"10.10.2024"	""	""	"Yes"	"72e971d25a04497c89110f6ff7898c92"	"09.10.2024"	"No"	""	"No"	""	"No"	""	"Yes"	"01.07.2024"	"No"	""	""	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"S2738720830"	"10.10.2024"	"Yes"	"8937e718-d8aa-4470-bce7-7f2a6785cf46"	"10.10.2024"	""	""	"Yes"	"15400278X"	"16.04.2023"	"Yes"	"18.10.2024"	"Yes"	"54589"	"03.12.2022"	"Yes"	"Q15765917"	"27.03.2024"	"Yes"	"yqncwzlovvhvhktpm65k4wwuoe"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"1104947617|023633387"	"15.05.2023"	"No"	""	""	"20.10.2022"	""	""	""
"INTERNATIONAL JOURNAL OF INTELLIGENT COMPUTING AND CYBERNETICS"	"1756-3798|1756-378X"	"1"	"Yes"	"04.10.2024"	"Yes"	"19700182406"	"01.09.2024"	"No"	"Yes"	"2728"	"10.10.2024"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"Yes"	"01.07.2024"	"Yes"	"ijicc"	"29.03.2024"	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"Yes"	"01.10.2024"	"No"	""	"No"	""	"Yes"	"S124503262"	"10.10.2024"	"No"	""	""	""	""	"Yes"	"125027117"	"16.04.2023"	"Yes"	"18.10.2024"	"Yes"	"5684"	"03.12.2022"	"Yes"	"Q47755463"	"27.03.2024"	"Yes"	"7g6s3zi4ljderpfvuuiz4lfnmq"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"993888968|988477696"	"15.05.2023"	"No"	""	""	"20.10.2022"	""	""	""
"SEL'SKOKHOZYAISTVENNAYA BIOLOGIYA|СЕЛЬСКОХОЗЯЙСТВЕННАЯ БИОЛОГИЯ"	"2313-4836|0131-6397"	"2"	"No"	""	"Yes"	"21100415616"	"01.09.2024"	"Yes"	"No"	""	""	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	""	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"S4210200008"	"10.10.2024"	"No"	""	""	""	""	"Yes"	"036888990"	"16.04.2023"	"Yes"	"18.10.2024"	"Yes"	"39229"	"03.12.2022"	"Yes"	"Q96333572"	"27.03.2024"	"Yes"	"adner2kwxrb7hb5honlznqjbsi"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"18.10.2024"	"No"	""	"Yes"	"012198846"	"15.05.2023"	"No"	""	""	"20.10.2022"	""	""	""
"TRACTORS AND AGRICULTURAL MACHINERY|ТРАКТОРЫ И СЕЛЬХОЗМАШИНЫ"	"2782-425X|0321-4443"	"4"	"No"	""	"Yes"	"21101169011"	"01.09.2024"	"Yes"	"No"	""	""	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	""	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"S4210169949"	"10.10.2024"	"No"	""	""	""	""	"Yes"	"037295802"	"16.04.2023"	"Yes"	"18.10.2024"	"Yes"	"99239"	"03.12.2022"	"Yes"	"Q96738246"	"27.03.2024"	"Yes"	"iwpt7eegqndgpppjimeuslwtku"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"010946950|1002966701"	"15.05.2023"	"No"	""	""	"20.10.2022"	""	""	""
"RUDN JOURNAL OF LANGUAGE STUDIES, SEMIOTICS AND SEMANTICS|ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: ТЕОРИЯ ЯЗЫКА. СЕМИОТИКА. СЕМАНТИКА"	"2411-1236|2313-2299"	"3"	"No"	""	"Yes"	"21101039405"	"01.09.2024"	"No"	"No"	""	""	""	""	"Yes"	"d2e05ebad4344e2f948be322effec561"	"09.10.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	""	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"S2764710965"	"10.10.2024"	"Yes"	"d5f1021f-474c-42fa-bf87-e1fd2c47979b"	"10.10.2024"	""	""	"No"	""	""	"Yes"	"18.10.2024"	"Yes"	"81637"	"03.12.2022"	"Yes"	"Q73908379"	"27.03.2024"	"Yes"	"ye5yntswrfenff5yw45whbg65e"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"1154708381"	"15.05.2023"	"No"	""	""	"20.10.2022"	""	""	""
"LANGUAGE RELATED RESEARCH"	"2322-3081|2383-0816"	"3"	"No"	""	"Yes"	"21100443880"	"01.09.2024"	"No"	"No"	""	""	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	""	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"S4210190361"	"10.10.2024"	"No"	""	""	""	""	"No"	""	""	"No"	""	"Yes"	"108838"	"03.12.2022"	"Yes"	"Q96331061"	"27.03.2024"	"Yes"	"nit4znozjjadffrnwhj4udzk7i"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	""	"No"	""	""	"20.10.2022"	""	""	""
"NATURAL LANGUAGE ENGINEERING"	"1469-8110|1351-3249"	"1"	"Yes"	"04.10.2024"	"Yes"	"28380"	"01.09.2024"	"No"	"No"	""	""	""	""	"No"	""	""	"Yes"	"18.10.2024"	"No"	""	"No"	""	"Yes"	"01.07.2024"	"Yes"	"nle"	"29.03.2024"	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"Yes"	"01.10.2024"	"No"	""	"No"	""	"Yes"	"S18088403"	"10.10.2024"	"No"	""	""	""	""	"Yes"	"048900796|036738948"	"16.04.2023"	"Yes"	"18.10.2024"	"Yes"	"14661"	"03.12.2022"	"Yes"	"Q15767074"	"27.03.2024"	"Yes"	"ugfrgjxxffftblvvdh5ko6pyum"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	""	"No"	""	""	"20.10.2022"	""	""	""
"COMPUTER SPEECH AND LANGUAGE"	"1095-8363|0885-2308"	"1"	"Yes"	"04.10.2024"	"Yes"	"27869"	"01.09.2024"	"No"	"Yes"	"11278"	"10.10.2024"	""	""	"No"	""	""	"Yes"	"18.10.2024"	"No"	""	"No"	""	"Yes"	"01.07.2024"	"No"	""	""	"No"	""	"No"	""	""	"No"	""	""	"No"	""	"No"	""	"No"	""	"Yes"	"01.10.2024"	"No"	""	"No"	""	"Yes"	"S91252481"	"10.10.2024"	"Yes"	"fbaf5662-d7f2-4ab8-b2a5-4386110da302"	"10.10.2024"	""	""	"Yes"	"040631265|039976521"	"16.04.2023"	"Yes"	"18.10.2024"	"Yes"	"3639"	"03.12.2022"	"Yes"	"Q15765047"	"27.03.2024"	"Yes"	"fut52bg77zaztmwr37xhgokdce"	"16.02.2024"	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"No"	""	"Yes"	"019562020|010497455"	"15.05.2023"	"No"	""	""	"20.10.2022"	""	"warning"	"В виду намерения издательства Elsevier использовать платежи за обеспечение открытого доступа (APC) для финансирования Украины, российским ученым настоятельно рекомендуется воздерживаться от оплаты открытого доступа в журналах Elsevier."
